RR,SBP
806.0,118.24873352050781
808.0,117.64712524414062
819.0,119.55615234375
830.0,120.86253356933594
815.0,120.32032775878906
810.0,118.90841674804688
834.0,120.78623962402344
828.0,121.51934814453125
806.0,119.98944091796875
781.0,118.19517517089844
807.0,120.29037475585938
821.0,120.40679931640625
802.0,119.75088500976562
785.0,118.50064086914062
810.0,120.70523071289062
815.0,121.24832153320312
799.0,120.13653564453125
773.0,118.47230529785156
810.0,120.23509216308594
829.0,121.09832763671875
816.0,119.88116455078125
825.0,118.91921997070312
854.0,120.15435791015625
850.0,119.58506774902344
832.0,117.2984619140625
840.0,116.05827331542969
832.0,117.32887268066406
805.0,116.73103332519531
791.0,114.94313049316406
810.0,117.13871765136719
822.0,119.17701721191406
819.0,118.93571472167969
809.0,118.0670166015625
846.0,120.44818115234375
848.0,120.68557739257812
824.0,118.96133422851562
807.0,117.28164672851562
829.0,119.2711181640625
835.0,118.97149658203125
800.0,117.47308349609375
792.0,116.15782165527344
814.0,118.43791198730469
819.0,118.82542419433594
806.0,117.0941162109375
818.0,116.88984680175781
831.0,118.75494384765625
836.0,120.09648132324219
803.0,119.26710510253906
840.0,120.94822692871094
853.0,123.56460571289062
858.0,122.92951965332031
837.0,121.73379516601562
851.0,121.64190673828125
851.0,121.88653564453125
820.0,120.12103271484375
814.0,118.20820617675781
822.0,119.37019348144531
826.0,119.99691772460938
814.0,119.85069274902344
808.0,119.66828918457031
836.0,122.32469177246094
831.0,123.78988647460938
805.0,122.93086242675781
782.0,121.45497131347656
809.0,124.45814514160156
820.0,125.85121154785156
820.0,125.48887634277344
798.0,124.03627014160156
825.0,125.23895263671875
843.0,126.66949462890625
838.0,125.17805480957031
808.0,122.58053588867188
807.0,121.81816101074219
815.0,121.98338317871094
796.0,120.32292175292969
790.0,118.80880737304688
816.0,120.81185913085938
838.0,122.03323364257812
834.0,121.38804626464844
816.0,120.182373046875
840.0,120.7486572265625
838.0,122.71122741699219
841.0,121.28202819824219
820.0,119.25605773925781
842.0,119.40788269042969
851.0,120.40470886230469
853.0,119.6602783203125
830.0,117.37217712402344
845.0,117.90577697753906
842.0,119.14566040039062
829.0,118.49858093261719
809.0,117.44224548339844
837.0,119.41461181640625
846.0,120.94723510742188
864.0,121.57673645019531
848.0,120.71192932128906
864.0,122.25636291503906
861.0,122.80995178222656
848.0,122.03004455566406
834.0,120.13807678222656
843.0,122.08708190917969
848.0,122.23193359375
835.0,121.83575439453125
827.0,121.13027954101562
852.0,122.869873046875
864.0,123.19938659667969
855.0,122.36759948730469
836.0,120.43655395507812
849.0,122.66567993164062
841.0,122.69551086425781
827.0,121.4803466796875
823.0,120.87931823730469
846.0,123.99020385742188
876.0,125.33407592773438
884.0,123.81515502929688
882.0,122.470703125
885.0,122.58860778808594
871.0,121.01536560058594
831.0,116.58566284179688
842.0,116.615966796875
844.0,118.34809875488281
852.0,118.99746704101562
859.0,119.41693115234375
865.0,120.09721374511719
840.0,121.23281860351562
791.0,120.20143127441406
779.0,120.76167297363281
762.0,122.1846923828125
765.0,124.37077331542969
754.0,123.54598999023438
757.0,122.49404907226562
776.0,122.93914794921875
794.0,125.31448364257812
770.0,123.59857177734375
742.0,119.58473205566406
722.0,119.08863830566406
696.0,120.80050659179688
705.0,120.88233947753906
735.0,121.37478637695312
735.0,121.97567749023438
732.0,120.77940368652344
